OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),ComplianceStatus,Outlier,usage_type
26396,2016,NonResidential,Worship Facility,University Christian Church,4731 15TH AVE. NE,Seattle,WA,98105.0,8816400210,4,NORTHEAST,47.6645,-122.31224,1927,1.0,2,78401,0,78401,"K-12 School, Office, Supermarket/Grocery Store, Worship Facility",Worship Facility,62400.0,Office,9940.0,K-12 School,4960.0,,2462408.25,Compliant,,Multi-usages
26460,2016,NonResidential,Warehouse,Mariner Square LLC,1900 N Northlake Way,Seattle,WA,98103.0,4083307185,4,LAKE UNION,47.64748,-122.33435,1979,1.0,2,78716,0,78716,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Non-Refrigerated Warehouse,41275.0,Office,29399.0,Retail Store,6278.0,,4103800.75,Compliant,,Multi-usages
26465,2016,NonResidential,K-12 School,St. Benedict School,4811 Wallingford Ave. N.,Seattle,WA,98103.0,4083800835,4,LAKE UNION,47.66389,-122.33692,1910,1.0,2,33300,0,33300,K-12 School,K-12 School,30740.0,,,,,,1594733.625,Compliant,,Mono-usage
26473,2016,NonResidential,Supermarket / Grocery Store,70500869 -- Wallingford,1801 North 45th Street,Seattle,WA,98103.0,4083802815,4,LAKE UNION,47.66185,-122.33594,1957,1.0,1,28808,0,28808,Supermarket/Grocery Store,Supermarket/Grocery Store,31174.0,,,,,,9232576.0,Compliant,,Mono-usage
26528,2016,NonResidential,Small- and Mid-Sized Office,4701 University Way Bldg,4701 University Way NE,Seattle,WA,98105.0,8816400975,4,NORTHEAST,47.66345,-122.3134,1957,1.0,1,27966,7004,20962,"Office, Parking",Office,20962.0,Parking,7004.0,,,,1100499.75,Compliant,,Multi-usages
26529,2016,NonResidential,Supermarket / Grocery Store,Safeway 3091 - Brooklyn Ave,4732 Brooklyn Ave NE,Seattle,WA,98105.0,8816401015,4,NORTHEAST,47.66429,-122.31389,1950,1.0,1,26226,0,26226,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,25828.0,Parking,0.0,,,,7588060.5,Compliant,,Multi-usages
26535,2016,NonResidential,Mixed Use Property,2967-University District,1300 N.E. 45Th Street,Seattle,WA,98105.0,8816401150,4,NORTHEAST,47.6616,-122.31393,1976,1.0,2,34948,15755,19193,"Bank Branch, Parking",Bank Branch,19183.0,Parking,19183.0,,,,1159807.125,Compliant,,Multi-usages
26587,2016,NonResidential,Small- and Mid-Sized Office,1600 Fairview,1600 Fairview Ave E,Seattle,WA,98102.0,4088802669,4,LAKE UNION,47.6342,-122.32661,1998,1.0,3,37639,9999,27640,"Laboratory, Office",Office,20434.0,Laboratory,7557.0,,,,6197824.5,Compliant,,Multi-usages
26593,2016,NonResidential,Small- and Mid-Sized Office,Delmar Building,108 South Washington St,Seattle,WA,98104.0,5247800481,7,DOWNTOWN,47.60102,-122.33378,1900,1.0,4,22840,0,22840,"Office, Other",Office,18400.0,Other,4440.0,,,,881386.1875,Error - Correct Default Data,,Multi-usages
26594,2016,NonResidential,Other,107 Occidental Ave S,107 Occidental Ave S,Seattle,WA,98104.0,5247800535,7,DOWNTOWN,47.60135,-122.33327,1900,1.0,1,21420,0,21420,"Bar/Nightclub, Food Sales, Museum, Retail Store, Supermarket/Grocery Store",Museum,10420.0,Bar/Nightclub,5000.0,Supermarket/Grocery Store,2000.0,,810636.875,Compliant,,Multi-usages
